host,date,git_commit,parlay_threads,engine_name,workload,seed,num_vertices,delta_cap,batch_size,palette_multiplier,updates_generated,updates_applied,accepted_ratio,update_seconds,throughput_updates_per_second,repair_seconds,repair_calls,sequential_repair_calls,sequential_repair_rounds,total_rounds,fallback_count,vertices_touched_total,neighbor_scans,commits_total,graph_validated,coloring_validated
"br014.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","2","1000","1000","1","0.0602453","16598.8","0.00255227","1000","1000","1000","1000","0","2000","16389","1695","1","1"
"br014.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","4","1000","1000","1","0.0620913","16105.3","0.00254222","1000","1000","1000","1000","0","2000","16269","1666","1","1"
"br014.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","8","854","854","1","0.0510559","19586.4","0.00207984","854","854","854","854","0","1708","13068","1471","1","1"
"br014.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","2","1000","1000","1","0.10319","9690.87","0.00261044","1000","1000","1000","1000","0","2000","16389","1695","1","1"
"br014.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","4","1000","1000","1","0.0649824","15388.8","0.00258724","1000","1000","1000","1000","0","2000","16269","1666","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","8","1000","1000","1","0.0660078","15149.7","0.00256824","1000","1000","1000","1000","0","2000","16279","1689","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","2","1000","1000","1","0.0604758","16535.5","0.00257438","1000","1000","1000","1000","0","2000","16389","1695","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","4","1000","1000","1","0.0637575","15684.4","0.0025593","1000","1000","1000","1000","0","2000","16269","1666","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","8","1000","1000","1","0.065923","15169.2","0.00255769","1000","1000","1000","1000","0","2000","16279","1689","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","2","1000","1000","1","0.0987456","10127","0.00262918","1000","1000","1000","1000","0","2000","16389","1695","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","1","1000","32","1","4","1000","1000","1","0.0621391","16092.9","0.002528","1000","1000","1000","1000","0","2000","16269","1666","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","2","1000","32","1","8","1000","1000","1","0.0690229","14487.9","0.00256619","1000","1000","1000","1000","0","2000","16279","1689","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","2","1000","32","1","2","1000","1000","1","0.113056","8845.18","0.00256212","1000","1000","1000","1000","0","2000","16281","1691","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","2","1000","32","1","4","1000","1000","1","0.0621386","16093","0.00254029","1000","1000","1000","1000","0","2000","16261","1695","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","3","1000","32","1","8","1000","1000","1","0.0657687","15204.8","0.00257544","1000","1000","1000","1000","0","2000","16218","1666","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","3","1000","32","1","2","1000","1000","1","0.0603714","16564.1","0.00259697","1000","1000","1000","1000","0","2000","16288","1675","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","3","1000","32","1","4","1000","1000","1","0.066713","14989.6","0.00256509","1000","1000","1000","1000","0","2000","16276","1680","1","1"
"br013.ib.bridges2.psc.edu","","e536dbe","1","par_relaxed","conflict_heavy","3","1000","32","1","8","1000","1000","1","0.0656978","15221.2","0.00256824","1000","1000","1000","1000","0","2000","16258","1674","1","1"
