host,date,git_commit,parlay_threads,engine_name,workload,seed,num_vertices,delta_cap,batch_size,palette_multiplier,updates_generated,updates_applied,accepted_ratio,update_seconds,throughput_updates_per_second,repair_seconds,repair_calls,sequential_repair_calls,sequential_repair_rounds,total_rounds,fallback_count,vertices_touched_total,neighbor_scans,commits_total,graph_validated,coloring_validated
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","1","10000","32","16","2","10000","10000","1","1.10536","9046.83","0.0187876","625","625","629","629","0","19968","162653","16926","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","2","10000","32","16","2","10000","10000","1","1.04698","9551.25","0.0181007","625","625","625","625","0","19952","162769","16810","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","3","10000","32","16","2","10000","10000","1","0.999522","10004.8","0.0189652","625","625","626","626","0","19937","162231","16833","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","1","10000","32","16","4","10000","10000","1","1.0183","9820.29","0.0177752","625","625","627","627","0","19955","162052","16747","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","2","10000","32","16","4","10000","10000","1","1.01681","9834.71","0.0176816","625","625","627","627","0","19949","161821","16805","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","3","10000","32","16","4","10000","10000","1","0.997775","10022.3","0.0176994","625","625","628","628","0","19941","162099","16733","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","1","10000","32","16","8","8755","8755","1","0.81632","12250.1","0.0142158","548","548","549","549","0","17457","134574","14840","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","2","10000","32","16","8","8713","8713","1","0.856461","11676","0.0142111","545","545","546","546","0","17365","133282","14745","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","3","10000","32","16","8","8714","8714","1","0.811334","12325.4","0.0141281","545","545","547","547","0","17367","133388","14803","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","1","10000","32","16","16","6797","6797","1","0.545528","18330.9","0.00950294","425","425","426","426","0","13543","93859","12053","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","2","10000","32","16","16","6865","6865","1","0.555622","17997.8","0.00959916","430","430","431","431","0","13663","95035","12121","1","1"
"br013.ib.bridges2.psc.edu","2026-04-30T16:04:20-0400","5056a31","1","par_relaxed","conflict_heavy","3","10000","32","16","16","6918","6918","1","0.564115","17726.9","0.00982661","433","433","434","434","0","13770","96144","12214","1","1"
