host,date,git_commit,parlay_threads,engine_name,workload,seed,num_vertices,delta_cap,batch_size,palette_multiplier,palette_size,max_rounds,updates_requested,updates_generated,updates_applied,updates_rejected,accepted_ratio,batches_generated,batches_applied,batch_accepted_ratio,generation_attempts,generator_same_color_attempts,generator_same_color_chosen,generator_same_color_fallbacks,initial_edges_requested,initial_edges,final_edges,target_accepted,insert_ratio,max_generation_attempts,build_seconds,update_seconds,validate_seconds,throughput_updates_per_second,max_degree_observed,graph_validated,coloring_validated,vertices_touched_total,total_rounds,fallback_count,repair_calls,repair_rounds,sequential_repair_calls,sequential_repair_rounds,active_vertices_initial_total,active_vertices_expanded_total,conflicted_vertices_initial_total,neighbor_scans,commits_total,repair_seconds,active_build_seconds,recolor_calls,recolored_vertices_total,cascade_steps_total,full_fallback_count,level_conflict_choices,active_vertices_total,repair_rounds_total,proposal_count,commit_count,unresolved_count,sequential_fast_path_count,validation_message,color_validation_message
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","valid_insertions","1","1000","16","1","","","","1000","1000","1000","0","1","0","0","0","1002","0","0","0","0","0","1000","0","0.5","100000","0.0766504","0.145267","0.000435012","6883.86","8","1","1","1000000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","mixed_valid","1","1000","16","1","","","","1000","1000","1000","0","1","0","0","0","1033","0","0","0","0","0","10","0","0.5","100000","0.0243062","0.036692","8.3135e-05","27253.9","1","1","1","505000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","batch_valid","1","1000","16","16","","","","1024","1024","1024","0","1","0","0","0","1026","0","0","0","0","0","1024","0","0.5","102400","0.0252726","0.0806481","0.000474465","12697.1","8","1","1","64000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","conflict_heavy","1","1000","16","1","","","","1000","1000","1000","0","1","0","0","0","1926","1926","1000","0","0","0","1000","0","0.5","100000","0.024164","0.146707","0.000413822","6816.3","9","1","1","1000000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_baseline","conflict_heavy","1","1000","16","16","","","","1024","1024","1024","0","1","64","64","1","1965","1965","1024","0","0","0","1024","0","0.5","102400","0.0240788","0.0167217","0.000481128","61237.9","9","1","1","64000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","valid_insertions","1","1000","16","1","","17","","1000","1000","1000","0","1","0","0","0","1002","0","0","0","0","0","1000","0","0.5","100000","0.0253746","0.278115","0.000432948","3595.63","8","1","1","558","","","","","","","","","","","","","","558","558","558","0","517","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","mixed_valid","1","1000","16","1","","17","","1000","1000","1000","0","1","0","0","0","1033","0","0","0","0","0","10","0","0.5","100000","0.0236717","0.102584","8.0481e-05","9748.15","1","1","1","375","","","","","","","","","","","","","","375","375","375","0","353","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","batch_valid","1","1000","16","16","","17","","1024","1024","1024","0","1","0","0","0","1026","0","0","0","0","0","1024","0","0.5","102400","0.113715","0.0241733","0.000451763","42360.7","8","1","1","578","","","","","","","","","","","","","","578","572","578","0","535","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","conflict_heavy","1","1000","16","1","","17","","1000","1000","1000","0","1","0","0","0","2318","2318","1000","0","0","0","1000","0","0.5","100000","0.0245004","0.25649","0.000415666","3898.78","9","1","1","1000","","","","","","","","","","","","","","1000","1000","1000","0","923","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","seq_exact","conflict_heavy","1","1000","16","16","","17","","1024","1024","1024","0","1","64","64","1","2323","2323","1024","0","0","0","1024","0","0.5","102400","0.0250042","0.0241657","0.000441153","42374.2","9","1","1","1024","","","","","","","","","","","","","","1024","999","1024","0","950","","","","","","","",""
"br013.ib.bridges2.psc.edu","2026-05-01T02:33:53-0400","7d13e8a","default","par_relaxed","valid_insertions","1","1000","16","1","4","65","4","1000","1000","1000","0","1","0","0","0","1002","0","0","0","0","0","1000","0","0.5","100000","0.0247989","0.101862","0.000429021","9817.24","8","1","1","662","331","0","","","","","","","","","","","","","","","","","","","","","","","",""
