dataset,threads,throughput_median,throughput_mean,throughput_std,n,speedup_vs_t1
ca-AstroPh,1,1680770.0,1727220.0,135752.05670633502,3,1.0
ca-AstroPh,2,1664470.0,1638446.6666666667,109195.990921523,3,0.9903020639349822
ca-AstroPh,4,1470850.0,1569726.6666666667,232721.38370449186,3,0.8751048626522367
ca-AstroPh,8,1255370.0,1436076.6666666667,360590.06383056834,3,0.7469017176651178
ca-AstroPh,16,1644050.0,1680933.3333333333,134230.8676621489,3,0.9781528704105856
ca-CondMat,1,1803800.0,1784376.6666666667,320806.30080055055,3,1.0
ca-CondMat,2,1718710.0,1781416.6666666667,254696.7611363233,3,0.9528273644528218
ca-CondMat,4,1656570.0,1651503.3333333333,101574.8184016754,3,0.9183778689433418
ca-CondMat,8,1112260.0,1399220.0,559742.738854199,3,0.6166204679010977
ca-CondMat,16,1759670.0,1781010.0,249435.5812629786,3,0.9755349817052889
ca-GrQc,1,2016490.0,1647239.0,659912.7158518769,3,1.0
ca-GrQc,2,859592.0,1088283.3333333333,813944.1281914462,3,0.4262813105941512
ca-GrQc,4,1988580.0,1621891.0,664522.6979291226,3,0.9861591180715005
ca-GrQc,8,230276.0,799309.0,1032655.3316847786,3,0.1141964502675441
ca-GrQc,16,1993420.0,1616747.6666666667,657045.6197832334,3,0.9885593283378544
