dataset,c_value,throughput_median,throughput_mean,throughput_std,n,speedup_vs_c4
ca-AstroPh,2,38062.9,38019.066666666666,98.09293212731295,3,0.9971105382834031
ca-AstroPh,4,38173.2,38278.433333333334,203.31896943800876,3,1.0
ca-AstroPh,8,37788.9,37510.6,729.1355086676257,3,0.9899327276728177
ca-AstroPh,16,37701.5,37878.1,322.2105367612913,3,0.9876431632663755
ca-CondMat,2,86309.7,86336.06666666667,1012.3075636057152,3,1.001441077675479
ca-CondMat,4,86185.5,85683.03333333333,1132.0726890678586,3,1.0
ca-CondMat,8,85197.0,84899.5,1002.7151090913139,3,0.988530553283325
ca-CondMat,16,86100.6,86419.86666666667,562.0168087640567,3,0.9990149155020277
ca-GrQc,2,177614.0,158463.33333333334,34786.13386585715,3,1.4843346509664965
ca-GrQc,4,119659.0,117194.66666666667,7144.693578687145,3,1.0
ca-GrQc,8,110148.0,133223.33333333334,42575.36955016754,3,0.9205157990623355
ca-GrQc,16,119163.0,135193.0,41912.83674484465,3,0.995854887639041
