dataset,threads,throughput_median,throughput_mean,throughput_std,n,speedup_vs_t1
ca-AstroPh,1,38493.6,38508.666666666664,366.3324491951743,3,1.0
ca-AstroPh,2,38426.1,38397.43333333334,207.7884100072305,3,0.9982464617494856
ca-AstroPh,4,38407.7,38383.36666666666,329.47461713056555,3,0.9977684602115676
ca-AstroPh,8,38173.2,38278.433333333334,203.31896943800876,3,0.9916765384375584
ca-AstroPh,16,38150.4,38124.166666666664,375.0387491091221,3,0.9910842321840514
ca-CondMat,1,88949.3,89001.16666666667,136.12444061715547,3,1.0
ca-CondMat,2,88919.7,88968.0,174.14812660490705,3,0.99966722616142
ca-CondMat,4,88534.5,88481.09999999999,309.47482934804293,3,0.995336669316116
ca-CondMat,8,86185.5,85683.03333333333,1132.0726890678586,3,0.9689283670585378
ca-CondMat,16,84229.8,84674.33333333333,2786.1255846306244,3,0.9469416847574967
ca-GrQc,1,179880.0,179787.66666666666,1042.571020762295,3,1.0
ca-GrQc,2,170875.0,170148.66666666666,4214.70358783786,3,0.9499388481209695
ca-GrQc,4,145662.0,149064.0,7413.569450676239,3,0.8097731821214142
ca-GrQc,8,119659.0,117194.66666666667,7144.693578687145,3,0.6652156993551256
ca-GrQc,16,72555.1,73190.86666666667,1358.4332384527934,3,0.4033527907493885
