workload_batch,engine_name,throughput_updates_per_second,throughput_updates_per_second_std,throughput_updates_per_second_n
valid_insertions (b=1),seq_baseline,6395.279,751.7162522218371,10
valid_insertions (b=1),seq_exact,3673.541,180.51847596729704,10
valid_insertions (b=1),par_relaxed,16158.189999999999,4719.677057504393,10
valid_insertions (b=1),par_exact,2654.79,148.63877152344872,10
mixed_valid (b=1),seq_baseline,17364.620000000003,6750.718521395415,10
mixed_valid (b=1),seq_exact,9977.944,2199.807776158838,10
mixed_valid (b=1),par_relaxed,43274.29,25652.489609282242,10
mixed_valid (b=1),par_exact,7938.918,1085.0687687658838,10
batch_valid (b=16),seq_baseline,47374.3,22735.170253498338,10
batch_valid (b=16),seq_exact,39541.39,9630.293396067085,10
batch_valid (b=16),par_relaxed,81551.83,23330.582981859763,10
batch_valid (b=16),par_exact,33421.92,13800.698568454183,10
conflict_heavy (b=1),seq_baseline,6471.062,497.2040212092685,10
conflict_heavy (b=1),seq_exact,3672.496,295.9948081451581,10
conflict_heavy (b=1),par_relaxed,15419.525,3237.3424235568764,10
conflict_heavy (b=1),par_exact,2631.118,151.59970776870108,10
conflict_heavy (b=16),seq_baseline,56458.81999999999,15488.721836140428,10
conflict_heavy (b=16),seq_exact,36518.38,12040.086837062265,10
conflict_heavy (b=16),par_relaxed,56505.490000000005,29260.30689181544,10
conflict_heavy (b=16),par_exact,35344.31,11196.321807773402,10
