workload_batch,engine_name,update_seconds,update_seconds_std,update_seconds_n
valid_insertions (b=1),seq_baseline,,,0
valid_insertions (b=1),seq_exact,,,0
valid_insertions (b=1),par_relaxed,5.793393333333333,0.06701038051652665,12
valid_insertions (b=1),par_exact,,,0
mixed_valid (b=1),seq_baseline,,,0
mixed_valid (b=1),seq_exact,,,0
mixed_valid (b=1),par_relaxed,,,0
mixed_valid (b=1),par_exact,,,0
batch_valid (b=16),seq_baseline,,,0
batch_valid (b=16),seq_exact,,,0
batch_valid (b=16),par_relaxed,,,0
batch_valid (b=16),par_exact,,,0
conflict_heavy (b=1),seq_baseline,,,0
conflict_heavy (b=1),seq_exact,,,0
conflict_heavy (b=1),par_relaxed,,,0
conflict_heavy (b=1),par_exact,,,0
conflict_heavy (b=16),seq_baseline,,,0
conflict_heavy (b=16),seq_exact,,,0
conflict_heavy (b=16),par_relaxed,,,0
conflict_heavy (b=16),par_exact,,,0
,seq_baseline,,,0
,seq_exact,,,0
,par_relaxed,7.970550574074075,14.032013948554273,54
,par_exact,1.8458526666666666,1.6772755438938374,30
