series,palette_multiplier,vertices_touched_total,vertices_touched_total_std,vertices_touched_total_n
batch_valid (b=16),4.0,677.7,6.129165250396394,10
batch_valid (b=64),2.0,7901.285714285715,20.418245808706487,7
batch_valid (b=64),4.0,7776.0,23.799759902750516,15
batch_valid (b=64),8.0,7739.333333333333,39.954140377855005,3
batch_valid (b=64),16.0,7699.666666666667,51.003267869160325,3
conflict_heavy (b=1),4.0,2000.0,0.0,10
conflict_heavy (b=16),4.0,2004.4,2.0655911179773003,10
conflict_heavy (b=64),2.0,32507.666666666668,4.932882862316769,3
conflict_heavy (b=64),4.0,32507.666666666668,5.163977794942424,15
conflict_heavy (b=64),8.0,32493.666666666668,13.576941236278058,3
conflict_heavy (b=64),16.0,29071.666666666668,285.99009306850655,3
mixed_valid (b=1),4.0,507.0,3.559026084010439,10
valid_insertions (b=1),2.0,6764.0,3.4641016151377544,7
valid_insertions (b=1),4.0,2066.4615384615386,2649.54249558248,13
valid_insertions (b=1),8.0,6694.0,20.8806130178211,3
valid_insertions (b=1),16.0,6674.0,28.0,3
