host,date,git_commit,parlay_threads,engine_name,workload,seed,num_vertices,delta_cap,batch_size,palette_multiplier,palette_size,max_rounds,updates_requested,updates_generated,updates_applied,updates_rejected,accepted_ratio,batches_generated,batches_applied,batch_accepted_ratio,generation_attempts,generator_same_color_attempts,generator_same_color_chosen,generator_same_color_fallbacks,initial_edges_requested,initial_edges,final_edges,target_accepted,insert_ratio,max_generation_attempts,build_seconds,update_seconds,validate_seconds,throughput_updates_per_second,max_degree_observed,graph_validated,coloring_validated,vertices_touched_total,total_rounds,fallback_count,repair_calls,repair_rounds,sequential_repair_calls,sequential_repair_rounds,active_vertices_initial_total,active_vertices_expanded_total,conflicted_vertices_initial_total,neighbor_scans,commits_total,repair_seconds,active_build_seconds,recolor_calls,recolored_vertices_total,cascade_steps_total,full_fallback_count,level_conflict_choices,active_vertices_total,repair_rounds_total,proposal_count,commit_count,unresolved_count,sequential_fast_path_count,validation_message,color_validation_message,parlay_threads_raw,workload_batch,fallback_unified,repair_effort_value,repair_effort_label,vertices_touched_per_update,generator_attempts_per_update
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,1.0,par_relaxed,conflict_heavy,3,10000,32,64,16.0,513.0,4.0,16384,14828,14828,0,1,232,232,1,5000000,5000000,14828,0,0,0,14828,0,0.5,5000000,0.0906884,55.0994,0.00983308,297.354,9,1,1,29373,251.0,0.0,232.0,251.0,232.0,251.0,29656,67024,29331,276727.0,24517.0,1.60585,1.50827,,,,,,,,,,,,,,1,conflict_heavy (b=64),0.0,251.0,total_rounds,1.9809144861073644,337.19989209603455
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,1.0,par_relaxed,batch_valid,1,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16390,0,0,0,0,0,16384,0,0.5,5000000,0.00116395,0.617989,0.00736048,26511.8,12,1,1,7783,255.0,0.0,256.0,255.0,255.0,255.0,32768,84323,7783,151322.0,7718.0,0.0138267,0.0254202,,,,,,,,,,,,,,1,batch_valid (b=64),0.0,255.0,total_rounds,0.47503662109375,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,1.0,par_relaxed,conflict_heavy,1,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1526997,1526997,16384,0,0,0,16384,0,0.5,5000000,0.00111681,0.640313,0.00741694,25587.5,11,1,1,32509,271.0,0.0,256.0,271.0,256.0,271.0,32768,79332,32475,318220.0,27295.0,0.0308862,0.0248909,,,,,,,,,,,,,,1,conflict_heavy (b=64),0.0,271.0,total_rounds,1.98419189453125,93.20050048828125
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,2.0,par_relaxed,batch_valid,1,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16390,0,0,0,0,0,16384,0,0.5,5000000,0.00139953,0.583458,0.00744041,28080.8,12,1,1,7783,255.0,0.0,256.0,255.0,255.0,255.0,32768,84323,7783,151322.0,7718.0,0.0139638,0.0255388,,,,,,,,,,,,,,2,batch_valid (b=64),0.0,255.0,total_rounds,0.47503662109375,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,2.0,par_relaxed,conflict_heavy,1,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1526997,1526997,16384,0,0,0,16384,0,0.5,5000000,0.00136818,0.723536,0.00740991,22644.3,11,1,1,32509,271.0,0.0,256.0,271.0,256.0,271.0,32768,79332,32475,318220.0,27295.0,0.0308572,0.0249715,,,,,,,,,,,,,,2,conflict_heavy (b=64),0.0,271.0,total_rounds,1.98419189453125,93.20050048828125
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,4.0,par_relaxed,batch_valid,1,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16390,0,0,0,0,0,16384,0,0.5,5000000,0.00152361,0.592836,0.00721589,27636.7,12,1,1,7783,255.0,0.0,256.0,255.0,255.0,255.0,32768,84323,7783,151322.0,7718.0,0.0137823,0.0251828,,,,,,,,,,,,,,4,batch_valid (b=64),0.0,255.0,total_rounds,0.47503662109375,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,4.0,par_relaxed,conflict_heavy,1,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1526997,1526997,16384,0,0,0,16384,0,0.5,5000000,0.00149208,1.00056,0.00714227,16374.8,11,1,1,32509,271.0,0.0,256.0,271.0,256.0,271.0,32768,79332,32475,318220.0,27295.0,0.0640396,0.0901795,,,,,,,,,,,,,,4,conflict_heavy (b=64),0.0,271.0,total_rounds,1.98419189453125,93.20050048828125
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,8.0,par_relaxed,batch_valid,1,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16390,0,0,0,0,0,16384,0,0.5,5000000,0.00208321,0.595414,0.00799428,27517.0,12,1,1,7783,255.0,0.0,256.0,255.0,255.0,255.0,32768,84323,7783,151322.0,7718.0,0.0138129,0.0256468,,,,,,,,,,,,,,8,batch_valid (b=64),0.0,255.0,total_rounds,0.47503662109375,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,8.0,par_relaxed,conflict_heavy,1,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1526997,1526997,16384,0,0,0,16384,0,0.5,5000000,0.00188782,1.89349,0.00745396,8652.79,11,1,1,32509,271.0,0.0,256.0,271.0,256.0,271.0,32768,79332,32475,318220.0,27295.0,0.0311606,0.024992,,,,,,,,,,,,,,8,conflict_heavy (b=64),0.0,271.0,total_rounds,1.98419189453125,93.20050048828125
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,1.0,par_relaxed,batch_valid,2,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16384,0,0,0,0,0,16384,0,0.5,5000000,0.00112784,0.567435,0.00736052,28873.8,12,1,1,7745,255.0,0.0,256.0,255.0,255.0,255.0,32768,84396,7745,151307.0,7671.0,0.0138651,0.0256868,,,,,,,,,,,,,,1,batch_valid (b=64),0.0,255.0,total_rounds,0.47271728515625,0.0
